county,name,position,address,phone,fax,email,alt_phone,alt_address
Adams,Ronnie Harper,District Attorney,"307 Market St., Natchez 39120",(601) 445-4099,,,,
Alcorn,John Weddle,District Attorney,"P.O. Box 7237, Tupelo 38802",(662) 432-2800,,,,
Amite,Ronnie Harper,District Attorney,"307 Market St., Natchez 39120",(601) 445-4099,,,,
Attala,Doug Evans,District Attorney,"P.O. Box 1262, Grenada 38902-1262 ",(662) 226-8545,,,,
Benton,Ben Creekmore,District Attorney,"1301 Monroe Avenue, Oxford 38655 ",(662) 234-3304,,,,
Bolivar,Brenda F. Mitchell,District Attorney,"P.O. Box 848, Cleveland 38732",(662) 843-8000,,,,
Calhoun,Ben Creekmore,District Attorney,"1301 Monroe Avenue, Oxford 38655 ",(662) 234-3304,,,,
Carroll,Doug Evans,District Attorney,"P.O. Box 1262, Grenada 38902-1262 ",(662) 226-8545,,,,
Chickasaw,Ben Creekmore,District Attorney,"1301 Monroe Avenue, Oxford 38655 ",(662) 234-3304,,,,
Choctaw,Doug Evans,District Attorney,"P.O. Box 1262, Grenada 38902-1262 ",(662) 226-8545,,,,
Claiborne,Alexander C. Martin,District Attorney,"P.O. Drawer 767, Hazlehurst 39083 ",(601) 894-5040,,,,
Clarke,E. J. (Bilbo) Mitchell,District Attorney,"P.O. Box 5163, Meridian 39302",(601) 482-9757,,,,
Clay,Scott Colom,District Attorney,"P.O. Box 1044, Columbus 39703 ",(662) 329-5911,,,,
Coahoma,Brenda F. Mitchell,District Attorney,"P.O. Box 848, Cleveland 38732",(662) 843-8000,,,,
Copiah,Alexander C. Martin,District Attorney,"P.O. Drawer 767, Hazlehurst 39083 ",(601) 894-5040,,,,
Covington,Matt Sullivan,District Attorney,"100 Court Ave., Ste. 4, Mendenhall 39114 ",(601) 847-1342,,,,
DeSoto,John W. Champion,District Attorney,"365 Losher St., Ste. 210, Hernando 38632 ",(662) 469-8014,,,,
Forrest,Patricia Burchell,District Attorney,"P.O. Box 166, Hattiesburg 39403-0166 ",(601) 545-1551,,,,
Franklin,Ronnie Harper,District Attorney,"307 Market St., Natchez 39120",(601) 445-4099,,,,
George,Anthony (Tony) Lawrence III,District Attorney,"P.O. Box 1756, Pascagoula 39568-1756 ",(228) 769-3045,,,,
