county,position,name,address,phone,fax,alt_address,alt_phone,alt_fax,mobile,email,source,verified
Adams,County Prosecuting Attorney,John Barrett Martin,"P.O. Box 1603, Natchez 39121",(601) 442-7954,(601) 442-5659,,,,,,2016-2020 Blue Book,
Alcorn,County Prosecuting Attorney,Bob Moore,"P.O. Box 1990, Corinth 38835",(662) 286-7739,,,,,,,2016-2020 Blue Book,
Amite,County Prosecuting Attorney,Sara Hemphill,"P.O. Box 436, Liberty 39645",(601) 657-4801,(601) 657-4802,,,,,,2016-2020 Blue Book,
Attala,County Prosecuting Attorney,Doug Crosby," 241 N. Madison, Kosciusko 39090",(662) 289-0800,(662) 289-0700,,,,,,2016-2020 Blue Book,
Benton,County Prosecuting Attorney,Bart Adams," 108 Jefferson St., Ripley 38663",(662) 837-9976,(662) 773-4746,,,,,,2016-2020 Blue Book,
Bolivar,County Prosecuting Attorney,Aelicia L. Thomas," P.O. Box 912, Rosedale 38769",(662) 843-3777,,,,,,,2016-2020 Blue Book,
Calhoun,County Prosecuting Attorney,Tina Dugard Scott," P.O. Box 1545, Calhoun City 38916",(662) 628-5440,(662) 628-5450,,,,,,2016-2020 Blue Book,
Carroll,County Prosecuting Attorney,Lori M. Bell,"P.O. Box 623, Carrollton 38917",(662) 237-1117,(662) 237-6860,,,,,,2016-2020 Blue Book,
Chickasaw,County Prosecuting Attorney,Gene Barton,"P.O. Box 147, Okolona 38860",(662) 456-4201,,,,,,,2016-2020 Blue Book,
Choctaw,County Prosecuting Attorney,Kevin Null,"P.O. Box 756, Ackerman 39735",(662) 285-3880,(662) 285-3073,,,,,,2016-2020 Blue Book,
Claiborne,County Prosecuting Attorney,Michael Keyton," P.O. Box 694, Port Gibson 39150",(601) 437-3322,(601) 437-0088,,,,,,2016-2020 Blue Book,
Clarke,County Prosecuting Attorney,Edward N. Kramer III," P.O. Box 46, Quitman 39355",(601) 776-5399,(601) 776-6888,,,,,,2016-2020 Blue Book,
Clay,County Prosecuting Attorney,Michelle D. Easterling," P.O. Box 835, West Point 39773",(662) 494-5184,,,,,,,2016-2020 Blue Book,
Coahoma,County Prosecuting Attorney,John M. Sherman," 203 Court Street, Clarksdale 38614",(662) 627-5310,(662) 627-6791,,,,,,2016-2020 Blue Book,
Copiah,County Prosecuting Attorney,Elise B. Munn," P.O. Drawer 768, Hazlehurst 39083",(601) 894-4150,(601) 894-4717,,,,,,2016-2020 Blue Book,
Covington,County Prosecuting Attorney,John Alan Buffington,"P.O. Box 477, Prentiss 39471",(601) 792-4554,,"P.O. Box 924, Collins 39428",(601) 517-1085,,,,2016-2020 Blue Book,
Desoto,County Prosecuting Attorney,Craig Treadway," P.O. Box 681, Olive Branch 38654",(662) 469-8817,,,,,,,2016-2020 Blue Book,
Forrest,County Prosecuting Attorney,Pamela Luckie Castle," P.O. Box 2037, Hattiesburg 39403",(601) 544-4333,(601) 544-4331,,,,,,2016-2020 Blue Book,
Franklin,County Prosecuting Attorney,Mary K. Williamson," P.O. Box 188, Meadville 39653",(601) 384-2343,(601) 384-5442,,,,,,2016-2020 Blue Book,
