county,position,name,address,phone,fax,alt_address,alt_phone,alt_fax,mobile,email,source,verified
Adams,Superintendent of Education,Fred T. Butler,"P.O. Box 1188, Natchez 39121",(601) 442-0212,(601) 445-2818,,,,,,2016-2020 Blue Book,
Alcorn,Superintendent of Education,Larry Mitchell,"P.O. Box 1420, Corinth 38835-1420",(662) 286-5591,(662) 286-7766,,,,,,2016-2020 Blue Book,
Amite,Superintendent of Education,Scotty Whittington," P.O. Box 378, Liberty 39645",(601) 657-4361,(601) 657-4291,,,,,,2016-2020 Blue Book,
Attala,Superintendent of Education,Bryan Weaver," 100 Courthouse, Ste. 3, Kosciusko 39090",(662) 289-2801,(662) 289-2804,,,,,,2016-2020 Blue Book,
Benton,Superintendent of Education,Steve Bostick," P.O. Box 247, Ashland 38603",(662) 224-6252,(662) 224-3607,,,,,,2016-2020 Blue Book,
Calhoun,Superintendent of Education,Mike Moore,"119 W. Main St., Pittsboro 38951",(662) 412-3152,(662) 412-3157,,,,,,2016-2020 Blue Book,
Carroll,Superintendent of Education,Billy Joe Ferguson," P.O. Box 256, Carrollton 38917",(662) 237-9276,(662) 237-9703,,,,,,2016-2020 Blue Book,
Chickasaw,Superintendent of Education,Betsy A. Collums,"P.O. Box 480, Houlka 38850",(662) 568-3333,,,,,,,2016-2020 Blue Book,
Choctaw,Superintendent of Education,Stewart Glen Beard Jr," P.O. Drawer 398, Ackerman 39735",(662) 285-4022,(662) 285-4049,,,,,,2016-2020 Blue Book,
Claiborne,Superintendent of Education,Cardell Williams,"P.O. Box 337, Port Gibson 39150",(601) 437-4232,(601) 437-4409,,,,,,2016-2020 Blue Book,
Coahoma,Superintendent of Education,Xandra Brooks-Keyes," P.O. Box 820, Clarksdale 38614",(662) 624-5448,(662) 624-5512,,,,,,2016-2020 Blue Book,
Copiah,Superintendent of Education,Rickey Clopton," 254 West Gallatin St., Hazlehurst 39083",(601) 894-1341,(601) 894-2634,,,,,,2016-2020 Blue Book,
Covington,Superintendent of Education,Arnetta Crosby,"P.O. Box 1269, Collins 39428",(601) 765-8247,(601) 765-4102,,,,,,2016-2020 Blue Book,
Desoto,Superintendent of Education,Corey Uselton," 5 E. South St., Southaven 38632",(662) 429-5271,,,,,,,2016-2020 Blue Book,
Forrest,Superintendent of Education,Mitchell Brian Freeman," P.O. Box 1977, Hattiesburg 39403",(601) 545-6055,(601) 545-6054,,,,,,2016-2020 Blue Book,
Franklin,Superintendent of Education,Chris Kent,"P.O. Box 605, Meadville 39653",(601) 384-2340,(601) 384-2393,,,,,,2016-2020 Blue Book,
George,Superintendent of Education,Pam Touchard," 5152 Main St., Lucedale 39452",(601) 947-6993,(601) 947-8805,,,,,,2016-2020 Blue Book,
Greene,Superintendent of Education,Charles Breland," P.O. Box 1329, Leakesville 39451",(601) 394-2364,(601) 394-5542,,,,,,2016-2020 Blue Book,
Grenada,Superintendent of Education,Dr. David Daigneault," P.O. Box 1940, Grenada 38902-1940",(662) 226-1606,(662) 226-7994,,,,,,2016-2020 Blue Book,
Hancock,Superintendent of Education,Alan Dedeaux,"17304 Hwy. 603, Kiln 39556",(228) 255-0376,(228) 255-0378,,,,,,2016-2020 Blue Book,
Harrison,Superintendent of Education,Roy Gill," 11072 Hwy. 49, Gulfport 39503",(228) 539-6500,(228) 539-6507,,,,,,2016-2020 Blue Book,
Hinds,Superintendent of Education,Delesicia Martin," 13192 Hwy. 18, Raymond 39154",(601) 857-5222,(601) 857-8548,,,,,,2016-2020 Blue Book,
Holmes,Superintendent of Education,Angel Meeks,"P.O. Box 630, Lexington 39095",(662) 834-2175,(662) 834-9060,,,,,,2016-2020 Blue Book,
