county,job title,name,address,alt address,phone,alt phone,fax,alt fax,email
Harrison County,Chancery Clerk,John McAdams,"PO Box 544, Biloxi 39533",,(228) 435-8220,,(228) 435-8292,,
Adams County,Chancery Clerk, Brandi B. Lewis,"115 South Wall St, Natchez 39120",,(601) 446-6684,,(601) 445-7913,,
Harrison County,Chancery Clerk,John McAdams,"PO Drawer CC, Gulfport 39502",,(228) 865-4164,,(228) 214-1583,,
Lauderdale County,Chancery Clerk,Carolyn Mooney,"PO Box 1587, Meridian 39302-1587",,(601) 482-9701,,(601) 486-4943,,
Marion County,Chancery Clerk,Cass Barnes,"250 Broad St,Ste 2, Columbia 39429",,(601) 736-2691,,(601) 444-0206,,
Panola County,Chancery Clerk,James R. Pitcock,"151 Public Sq,Ste B, Batesville 38606",,(662) 563-6205,,(662) 563-6277,,
Panola County,Chancery Clerk,James R. Pitcock,"215 S Pocahontas St, Sardis 38666",,(662) 487-2070,,(662) 487-3559,,
Stone County,Chancery Clerk,Gerald W Bond,"PO Drawer 7, Wiggins 39577",,(601) 928-5266,,(601) 928-6464,,
Clay County,Chancery Clerk,Amy Berry,"PO Box 815, West Point 39773.",,(662) 494-3124,,(662) 492-4059,,
Tippah County,Chancery Clerk,Mike Long,"101 E Spring St, Ripley 38663",,(662) 837-7374,,(662) 837-7148,,
Madison County,Chancery Clerk,Ronny Lott,"PO Box 404, Canton 39046",,(601) 859-1177,,(601) 855-5759,,
Neshoba County,Chancery Clerk,Guy Nowell,"401 E Beacon St,Ste 107, Philadelphia 39350",,(601) 656-3581,,(601) 656-5915,,
Pike County,Chancery Clerk,Becky Buie,"PO Box 309, Magnolia 39652",,(601) 783-3362,,(601) 783-5982,,
Amite County,Chancery Clerk,Jana Causey,"PO Box 680, Liberty 39645 ",,(601) 657-8022,,(601) 657-8288,,
Lamar County,Chancery Clerk,Wayne Smith,"PO Box 247, Purvis 39475",,(601) 794-8504,,(601) 794-3903,,
Alcorn County,Chancery Clerk,Greg Younger,"PO Box 69, Corinth 38835-0069",,(662) 286-7700,,(662) 286-7706,,
Attala County,Chancery Clerk,Gerry Taylor,"230 W Washington St, Kosciusko 39090",,(662) 289-2921,,(662) 289-7662,,
Leake County,Chancery Clerk,Dot Merchant,"PO Box 72, Carthage 39051",,(601) 267-7371,,(601) 267-6137,,
Marshall County,Chancery Clerk,Chuck Thomas,"PO Box 219, Holly Springs 38635",,(662) 252-4431,,(662) 551-3302,,
Smith County,Chancery Clerk,Cindy Austin,"PO Box 39, Raleigh 39153",,(601) 782-9811,,(601) 782-4690,,
Yazoo County,Chancery Clerk,Quint Carver,"PO Box 68, Yazoo City 39194",,(662) 746-2661,,(662) 746-3893,,
Claiborne County,Chancery Clerk,Gloria Dotson,"PO Box 449, Port Gibson 39150",,(601) 437-4992,,(601) 437-3137,,
DeSoto County,Chancery Clerk,Misty Heffner,"PO Box 949, Hernando 38632",,(662) 469-8005,,(662) 469-8308,,
Holmes County,Chancery Clerk,Henry Luckett,"PO Box 1211, Lexington 39095.",,(662) 834-2508,,(662) 834-1872,,
Issaquena County,Chancery Clerk,Ronda Delaney,"PO Box 27, Mayersville 39113",,(622) 873-2761,,(662) 873-2061,,
Jackson County,Chancery Clerk,Josh Eldridge,"PO Box 998, Pascagoula 39568-0998",,(228) 769-3131,,(228) 769-3414,,
Jefferson County,Chancery Clerk,Delorise Frye,"PO Box 145, Fayette 39069",,(601) 786-3021,,(601) 786-6009,,
Lawrence County,Chancery Clerk,Kevin Rayborn,"PO Box 821, Monticello 39654",,(601) 587-7162,,(601) 587-0750,,
Monroe County,Chancery Clerk,Ronnie Boozer,"PO Box 578, Aberdeen 39730",,(662) 369-8143,,(662) 369-7928,,
